XP_035657343.1	PE_Scaf1142_1.4	PY_T04693
XP_035658311.1	PE_Scaf5778_19.11	PY_T04950
XP_035658313.1	PE_Scaf7376_3.6	PY_T04945
XP_035658314.1	PE_Scaf9091_0.4	PY_T25181
XP_035658320.1	PE_Scaf5916_2.1	PY_T04186
XP_035658326.1	PE_Scaf10279_1.8	PY_T04656
XP_035658330.1	PE_Scaf6934_1.2	PY_T01928
XP_035658350.1	PE_Scaf3341_1.2	PY_T03233
XP_035658351.1	PE_Scaf5436_3.3	PY_T14924
XP_035658352.1	PE_Scaf11331_1.4	PY_T15651
XP_035658364.1	PE_Scaf5855_12.2	PY_T03082
XP_035658366.1	PE_Scaf2513_1.3	PY_T16484
XP_035658373.1	PE_Scaf10212_2.11	PY_T03749
XP_035658374.1	PE_Scaf8695_6.7	PY_T13304
XP_035658375.1	PE_Scaf5778_14.3	PY_T05037
XP_035658397.1	PE_Scaf4936_1.11	PY_T03768
XP_035658413.1	PE_Scaf12256_3.2	PY_T19183
XP_035658442.1	PE_Scaf379_2.11	PY_T04242
XP_035658444.1	PE_Scaf2622_3.9	PY_T04490
XP_035658471.1	PE_Scaf6199_3.16	PY_T17206
XP_035658489.1	PE_Scaf8049_0.4	PY_T22166
XP_035658490.1	PE_Scaf1644_2.2	PY_T04785
XP_035658500.1	PE_Scaf7027_1.12	PY_T10239
XP_035658505.1	PE_Scaf289_2.2	PY_T14923
XP_035658525.1	PE_Scaf8258_0.16	PY_T04589
XP_035658551.1	PE_Scaf1336_2.4	PY_T04182
XP_035658594.1	PE_Scaf5518_1.2	PY_T03717
XP_035658611.1	PE_Scaf9976_3.11	PY_T09063
XP_035658614.1	PE_Scaf3834_8.14	PY_T03934
XP_035658615.1	PE_Scaf3341_3.6	PY_T04902
XP_035658616.1	PE_Scaf2180_7.12	PY_T16907
XP_035658617.1	PE_Scaf145_11.4	PY_T00867
XP_035658620.1	PE_Scaf12393_1.5	PY_T03903
XP_035658636.1	PE_Scaf6503_1.8	PY_T08191
XP_035658641.1	PE_Scaf3834_8.13	PY_T04948
XP_035658642.1	PE_Scaf6906_2.5	PY_T04313
XP_035658645.1	PE_Scaf5778_18.2	PY_T04806
XP_035658696.1	PE_Scaf7153_2.7	PY_T04184
XP_035658706.1	PE_Scaf1706_3.4	PY_T03552
XP_035658716.1	PE_Scaf4379_0.3	PY_T04233
XP_035658751.1	PE_Scaf5855_11.3	PY_T04924
XP_035658773.1	PE_Scaf9331_4.14	PY_T09096
XP_035658784.1	PE_Scaf9839_0.13	PY_T23926
XP_035658802.1	PE_Scaf3049_5.5	PY_T06279
XP_035658808.1	PE_Scaf9123_0.5	PY_T23864
XP_035658825.1	PE_Scaf9187_1.8	PY_T18825
XP_035658835.1	PE_Scaf8646_5.5	PY_T06837
XP_035658836.1	PE_Scaf6273_3.15	PY_T23729
XP_035658842.1	PE_Scaf1481_11.1	PY_T23759
XP_035658843.1	PE_Scaf6049_0.5	PY_T23493
XP_035658845.1	PE_Scaf3413_14.2	PY_T08358
XP_035658854.1	PE_Scaf9853_1.3	PY_T23829
XP_035658865.1	PE_Scaf9829_18.17	PY_T05669
XP_035658877.1	PE_Scaf5910_4.2	PY_T23485
XP_035658933.1	PE_Scaf5430_4.4	PY_T23534
XP_035658937.1	PE_Scaf6273_2.2	PY_T23666
XP_035658943.1	PE_Scaf5855_6.2	PY_T03258
XP_035658982.1	PE_Scaf283_2.5	PY_T23473
XP_035659002.1	PE_Scaf3556_3.3	PY_T01361
XP_035659003.1	PE_Scaf11594_2.2	PY_T02144
XP_035659020.1	PE_Scaf5595_2.14	PY_T18157
XP_035659024.1	PE_Scaf3635_0.2	PY_T06537
XP_035659046.1	PE_Scaf12200_4.9	PY_T24032
XP_035659049.1	PE_Scaf9295_3.8	PY_T24026
XP_035659054.1	PE_Scaf12022_8.16	PY_T04897
XP_035659079.1	PE_Scaf8200_1.14	PY_T23744
XP_035659080.1	PE_Scaf3480_1.8	PY_T00303
XP_035659089.1	PE_Scaf6386_4.4	PY_T24018
XP_035659103.1	PE_Scaf6273_0.2	PY_T23575
XP_035659106.1	PE_Scaf271_3.12	PY_T18137
XP_035659114.1	PE_Scaf7912_1.9	PY_T23691
XP_035659116.1	PE_Scaf5159_1.10	PY_T01154
XP_035659141.1	PE_Scaf7701_3.19	PY_T23727
XP_035659149.1	PE_Scaf2156_1.10	PY_T24049
XP_035659154.1	PE_Scaf11930_9.10	PY_T23971
XP_035659155.1	PE_Scaf3413_15.4	PY_T09139
XP_035659156.1	PE_Scaf6877_4.3	PY_T23970
XP_035659157.1	PE_Scaf6877_5.1	PY_T23969
XP_035659171.1	PE_Scaf9482_0.2	PY_T24036
XP_035659178.1	PE_Scaf1481_9.4	PY_T23496
XP_035659179.1	PE_Scaf5430_5.8	PY_T23761
XP_035659202.1	PE_Scaf8096_1.3	PY_T08449
XP_035659203.1	PE_Scaf4605_3.2	PY_T23540
XP_035659220.1	PE_Scaf5855_7.4	PY_T23555
XP_035659244.1	PE_Scaf10501_2.4	PY_T23960
XP_035659248.1	PE_Scaf10501_2.3	PY_T23891
XP_035659283.1	PE_Scaf10367_3.2	PY_T23913
XP_035659289.1	PE_Scaf8714_3.3	PY_T14763
XP_035659298.1	PE_Scaf5855_4.6	PY_T12168
XP_035659299.1	PE_Scaf8714_2.3	PY_T14764
XP_035659311.1	PE_Scaf5436_1.6	PY_T23813
XP_035659324.1	PE_Scaf8770_0.3	PY_T23918
XP_035659350.1	PE_Scaf1222_6.2	PY_T23783
XP_035659352.1	PE_Scaf4335_3.3	PY_T04461
XP_035659353.1	PE_Scaf12200_4.8	PY_T24010
XP_035659360.1	PE_Scaf12440_2.1	PY_T23887
XP_035659402.1	PE_Scaf3512_2.4	PY_T05534
XP_035659464.1	PE_Scaf12420_1.12	PY_T23722
XP_035659499.1	PE_Scaf10499_1.2	PY_T23465
XP_035659500.1	PE_Scaf444_1.2	PY_T23538
XP_035659509.1	PE_Scaf9907_1.3	PY_T05946
XP_035659515.1	PE_Scaf9792_4.13	PY_T23374
XP_035659516.1	PE_Scaf9792_3.3	PY_T23376
XP_035659528.1	PE_Scaf2239_1.4	PY_T07698
XP_035659533.1	PE_Scaf10797_6.2	PY_T23865
XP_035659537.1	PE_Scaf9658_5.9	PY_T24077
XP_035659540.1	PE_Scaf3707_2.10	PY_T23411
XP_035659545.1	PE_Scaf9187_1.9	PY_T23296
XP_035659548.1	PE_Scaf2696_0.3	PY_T23674
XP_035659554.1	PE_Scaf10367_4.5	PY_T23451
XP_035659567.1	PE_Scaf8927_0.6	PY_T00841
XP_035659572.1	PE_Scaf4335_1.2	PY_T23797
XP_035659584.1	PE_Scaf4197_17.4	PY_T09083
XP_035659597.1	PE_Scaf6386_9.10	PY_T24016
XP_035659605.1	PE_Scaf5159_2.7	PY_T23513
XP_035659608.1	PE_Scaf1868_2.4	PY_T23748
XP_035659620.1	PE_Scaf8200_1.12	PY_T18677
XP_035659634.1	PE_Scaf1189_0.8	PY_T23725
XP_035659641.1	PE_Scaf5359_5.15	PY_T23782
XP_035659650.1	PE_Scaf6649_2.4	PY_T23947
XP_035659676.1	PE_Scaf37_3.5	PY_T01367
XP_035659679.1	PE_Scaf1481_12.4	PY_T24017
XP_035659698.1	PE_Scaf1189_0.7	PY_T23726
XP_035659706.1	PE_Scaf11819_2.6	PY_T24590
XP_035659707.1	PE_Scaf169_1.4	PY_T00836
XP_035659744.1	PE_Scaf12167_10.2	PY_T01925
XP_035659748.1	PE_Scaf12024_8.4	PY_T23482
XP_035659759.1	PE_Scaf6837_2.8	PY_T23853
XP_035659765.1	PE_Scaf10797_12.6	PY_T23968
XP_035659782.1	PE_Scaf9704_1.7	PY_T23986
XP_035659783.1	PE_Scaf1608_0.7	PY_T22192
XP_035659786.1	PE_Scaf10636_16.6	PY_T23587
XP_035659793.1	PE_Scaf4335_2.3	PY_T23572
XP_035659797.1	PE_Scaf530_4.6	PY_T14961
XP_035659809.1	PE_Scaf4728_0.2	PY_T14731
XP_035659820.1	PE_Scaf1224_1.5	PY_T23335
XP_035659829.1	PE_Scaf2104_1.4	PY_T20646
XP_035659841.1	PE_Scaf3692_2.8	PY_T07642
XP_035659868.1	PE_Scaf3066_1.6	PY_T21883
XP_035659880.1	PE_Scaf3676_4.10	PY_T06739
XP_035659885.1	PE_Scaf3049_4.5	PY_T23571
XP_035659898.1	PE_Scaf6386_9.18	PY_T15527
XP_035659923.1	PE_Scaf4413_1.10	PY_T14637
XP_035659996.1	PE_Scaf6386_1.11	PY_T23791
XP_035660010.1	PE_Scaf9853_1.10	PY_T24044
XP_035660034.1	PE_Scaf2032_2.4	PY_T08160
XP_035660053.1	PE_Scaf8368_2.20	PY_T17507
XP_035660072.1	PE_Scaf1003_6.5	PY_T09062
XP_035660073.1	PE_Scaf1740_1.4	PY_T23822
XP_035660074.1	PE_Scaf3971_0.5	PY_T12159
XP_035660076.1	PE_Scaf5501_0.10	PY_T23890
XP_035660127.1	PE_Scaf9299_1.9	PY_T09010
XP_035660206.1	PE_Scaf12423_13.13	PY_T02319
XP_035660238.1	PE_Scaf2696_4.6	PY_T23704
XP_035660273.1	PE_Scaf9470_4.3	PY_T15889
XP_035660275.1	PE_Scaf3866_7.10	PY_T26353
XP_035660287.1	PE_Scaf5219_1.4	PY_T23434
XP_035660292.1	PE_Scaf5126_1.5	PY_T23469
XP_035660306.1	PE_Scaf8193_5.3	PY_T15348
XP_035660317.1	PE_Scaf1119_1.5	PY_T18536
XP_035660354.1	PE_Scaf6599_4.3	PY_T23556
XP_035660368.1	PE_Scaf8200_0.2	PY_T23450
XP_035660372.1	PE_Scaf5085_1.8	PY_T23883
XP_035660381.1	PE_Scaf12427_26.5	PY_T15174
XP_035660391.1	PE_Scaf12427_27.2	PY_T15340
XP_035660464.1	PE_Scaf3556_2.2	PY_T23395
XP_035660468.1	PE_Scaf3078_29.10	PY_T14901
XP_035660474.1	PE_Scaf9123_1.13	PY_T23425
XP_035660475.1	PE_Scaf9123_2.7	PY_T23426
XP_035660476.1	PE_Scaf1481_10.7	PY_T23760
XP_035660477.1	PE_Scaf5085_1.7	PY_T23886
XP_035660478.1	PE_Scaf2156_1.12	PY_T23427
XP_035660479.1	PE_Scaf8068_5.4	PY_T24035
XP_035660505.1	PE_Scaf6975_1.5	PY_T23402
XP_035660506.1	PE_Scaf4468_3.2	PY_T14947
XP_035660541.1	PE_Scaf4197_8.4	PY_T24170
XP_035660575.1	PE_Scaf10695_0.2	PY_T01915
XP_035660576.1	PE_Scaf9605_1.6	PY_T15564
XP_035660624.1	PE_Scaf12126_1.5	PY_T13763
XP_035660685.1	PE_Scaf10644_4.5	PY_T24522
XP_035660687.1	PE_Scaf456_2.5	PY_T24517
XP_035660715.1	PE_Scaf9624_2.3	PY_T24127
XP_035660728.1	PE_Scaf11016_2.2	PY_T24550
XP_035660729.1	PE_Scaf9162_3.20	PY_T24549
XP_035660732.1	PE_Scaf4857_16.10	PY_T18498
XP_035660798.1	PE_Scaf1750_5.3	PY_T24425
XP_035660836.1	PE_Scaf10036_2.8	PY_T24288
XP_035660846.1	PE_Scaf10076_7.2	PY_T24205
XP_035660852.1	PE_Scaf12448_13.5	PY_T24674
XP_035660855.1	PE_Scaf7341_13.6	PY_T24660
XP_035660877.1	PE_Scaf4360_13.6	PY_T02231
XP_035660884.1	PE_Scaf11016_1.4	PY_T24409
XP_035660891.1	PE_Scaf1129_2.6	PY_T09310
XP_035660902.1	PE_Scaf1183_6.6	PY_T08261
XP_035660947.1	PE_Scaf10697_1.9	PY_T03329
XP_035660948.1	PE_Scaf11016_4.9	PY_T24551
XP_035660951.1	PE_Scaf3583_3.5	PY_T24414
XP_035660991.1	PE_Scaf9907_2.3	PY_T05945
XP_035660995.1	PE_Scaf1013_5.4	PY_T24458
XP_035661018.1	PE_Scaf1013_6.18	PY_T24431
XP_035661022.1	PE_Scaf4197_3.9	PY_T03061
XP_035661042.1	PE_Scaf12537_7.4	PY_T09542
XP_035661055.1	PE_Scaf1013_5.3	PY_T24459
XP_035661057.1	PE_Scaf10099_7.8	PY_T02227
XP_035661059.1	PE_Scaf5241_4.8	PY_T24355
XP_035661060.1	PE_Scaf4774_2.4	PY_T06396
XP_035661065.1	PE_Scaf7341_12.2	PY_T03301
XP_035661075.1	PE_Scaf1013_3.3	PY_T24383
XP_035661085.1	PE_Scaf228_1.5	PY_T15323
XP_035661093.1	PE_Scaf7230_2.5	PY_T00197
XP_035661096.1	PE_Scaf7112_4.6	PY_T01914
XP_035661100.1	PE_Scaf3709_1.1	PY_T24123
XP_035661111.1	PE_Scaf6783_6.6	PY_T22824
XP_035661113.1	PE_Scaf11016_4.7	PY_T24107
XP_035661114.1	PE_Scaf10471_1.10	PY_T21947
XP_035661168.1	PE_Scaf512_0.4	PY_T02103
XP_035661185.1	PE_Scaf7112_6.6	PY_T24440
XP_035661192.1	PE_Scaf4549_1.3	PY_T24193
XP_035661218.1	PE_Scaf484_0.12	PY_T24506
XP_035661220.1	PE_Scaf2137_19.11	PY_T24222
XP_035661223.1	PE_Scaf12537_7.25	PY_T24326
XP_035661224.1	PE_Scaf2137_19.15	PY_T24325
XP_035661247.1	PE_Scaf5364_1.5	PY_T12194
XP_035661292.1	PE_Scaf7020_1.2	PY_T24499
XP_035661293.1	PE_Scaf4556_1.5	PY_T03330
XP_035661300.1	PE_Scaf4197_10.4	PY_T00040
XP_035661316.1	PE_Scaf2973_9.13	PY_T08071
XP_035661354.1	PE_Scaf3583_2.4	PY_T24415
XP_035661356.1	PE_Scaf9162_8.7	PY_T03293
XP_035661369.1	PE_Scaf9162_7.6	PY_T03296
XP_035661394.1	PE_Scaf6225_2.5	PY_T24559
XP_035661422.1	PE_Scaf4170_2.4	PY_T01200
XP_035661433.1	PE_Scaf2196_6.9	PY_T16858
XP_035661463.1	PE_Scaf4102_1.5	PY_T17391
XP_035661464.1	PE_Scaf4197_5.8	PY_T04831
XP_035661466.1	PE_Scaf9931_2.2	PY_T08632
XP_035661507.1	PE_Scaf7165_7.3	PY_T03320
XP_035661519.1	PE_Scaf4383_0.14	PY_T24189
XP_035661538.1	PE_Scaf10076_11.5	PY_T21150
XP_035661539.1	PE_Scaf2137_19.8	PY_T01738
XP_035661540.1	PE_Scaf10076_15.2	PY_T03322
XP_035661553.1	PE_Scaf1952_6.12	PY_T24464
XP_035661567.1	PE_Scaf11765_1.4	PY_T24722
XP_035661583.1	PE_Scaf9624_1.3	PY_T24338
XP_035661584.1	PE_Scaf1629_5.7	PY_T01032
XP_035661630.1	PE_Scaf953_2.13	PY_T15144
XP_035661643.1	PE_Scaf3078_22.5	PY_T15427
XP_035661698.1	PE_Scaf475_6.5	PY_T24206
XP_035661729.1	PE_Scaf10535_0.5	PY_T14851
XP_035661733.1	PE_Scaf3709_3.7	PY_T03325
XP_035661743.1	PE_Scaf7871_2.11	PY_T07607
XP_035661750.1	PE_Scaf5323_13.11	PY_T15869
XP_035661770.1	PE_Scaf8630_9.12	PY_T23512
XP_035661786.1	PE_Scaf10535_0.6	PY_T01558
XP_035661813.1	PE_Scaf5323_12.6	PY_T15868
XP_035661840.1	PE_Scaf1263_3.2	PY_T24158
XP_035661872.1	PE_Scaf1263_3.4	PY_T24159
XP_035661881.1	PE_Scaf4413_2.14	PY_T15069
XP_035661927.1	PE_Scaf7341_15.7	PY_T24397
XP_035661952.1	PE_Scaf8196_1.7	PY_T24321
XP_035662006.1	PE_Scaf1013_6.8	PY_T24430
XP_035662010.1	PE_Scaf5285_3.9	PY_T24141
XP_035662033.1	PE_Scaf7291_2.3	PY_T24513
XP_035662064.1	PE_Scaf10076_11.6	PY_T00431
XP_035662077.1	PE_Scaf7239_0.7	PY_T24144
XP_035662083.1	PE_Scaf8197_3.3	PY_T15116
XP_035662134.1	PE_Scaf2688_1.2	PY_T07089
XP_035662144.1	PE_Scaf202_1.2	PY_T00021
XP_035662155.1	PE_Scaf1595_5.3	PY_T06607
XP_035662172.1	PE_Scaf377_4.10	PY_T07226
XP_035662173.1	PE_Scaf8368_2.15	PY_T07228
XP_035662193.1	PE_Scaf11780_3.10	PY_T07755
XP_035662205.1	PE_Scaf10598_0.3	PY_T07538
XP_035662216.1	PE_Scaf8858_1.10	PY_T06704
XP_035662217.1	PE_Scaf11952_16.12	PY_T07828
XP_035662223.1	PE_Scaf4799_0.3	PY_T14930
XP_035662225.1	PE_Scaf696_0.2	PY_T07227
XP_035662259.1	PE_Scaf12390_8.16	PY_T20572
XP_035662332.1	PE_Scaf10509_3.8	PY_T06797
XP_035662335.1	PE_Scaf3228_8.3	PY_T09233
XP_035662348.1	PE_Scaf5690_1.2	PY_T06435
XP_035662352.1	PE_Scaf12267_4.4	PY_T18019
XP_035662365.1	PE_Scaf2009_3.5	PY_T08784
XP_035662381.1	PE_Scaf1095_3.12	PY_T07812
XP_035662393.1	PE_Scaf11780_2.2	PY_T07754
XP_035662423.1	PE_Scaf12089_5.22	PY_T24893
XP_035662457.1	PE_Scaf11797_18.7	PY_T06807
XP_035662476.1	PE_Scaf10033_3.5	PY_T09365
XP_035662480.1	PE_Scaf9147_1.4	PY_T07043
XP_035662496.1	PE_Scaf4690_0.5	PY_T18272
XP_035662523.1	PE_Scaf9539_11.3	PY_T06660
XP_035662525.1	PE_Scaf4035_2.6	PY_T06966
XP_035662554.1	PE_Scaf3938_2.10	PY_T07088
XP_035662635.1	PE_Scaf1784_5.3	PY_T06849
XP_035662639.1	PE_Scaf9746_6.5	PY_T16348
XP_035662658.1	PE_Scaf5185_1.8	PY_T14757
XP_035662688.1	PE_Scaf12150_1.10	PY_T07665
XP_035662737.1	PE_Scaf604_5.6	PY_T07776
XP_035662754.1	PE_Scaf12450_1.15	PY_T07715
XP_035662757.1	PE_Scaf4746_6.5	PY_T15993
XP_035662760.1	PE_Scaf8553_1.7	PY_T07204
XP_035662777.1	PE_Scaf8469_13.18	PY_T17972
XP_035662783.1	PE_Scaf11797_5.4	PY_T06630
XP_035662822.1	PE_Scaf604_0.6	PY_T07141
XP_035662824.1	PE_Scaf3741_3.11	PY_T07871
XP_035662851.1	PE_Scaf7274_3.5	PY_T06723
XP_035662869.1	PE_Scaf5712_5.3	PY_T15058
XP_035662874.1	PE_Scaf12358_6.3	PY_T09158
XP_035662896.1	PE_Scaf4548_2.3	PY_T06990
XP_035662906.1	PE_Scaf5496_0.7	PY_T07628
XP_035662916.1	PE_Scaf9539_12.5	PY_T07817
XP_035662925.1	PE_Scaf8858_1.3	PY_T06705
XP_035662931.1	PE_Scaf7274_3.3	PY_T06724
XP_035662939.1	PE_Scaf12427_30.28	PY_T15199
XP_035662947.1	PE_Scaf9434_0.4	PY_T06671
XP_035662956.1	PE_Scaf4134_0.3	PY_T19809
XP_035662959.1	PE_Scaf3563_0.4	PY_T07108
XP_035662968.1	PE_Scaf5170_1.6	PY_T23784
XP_035662980.1	PE_Scaf5401_2.0	PY_T06921
XP_035662982.1	PE_Scaf6032_4.5	PY_T07943
XP_035662988.1	PE_Scaf8534_1.21	PY_T18216
XP_035663059.1	PE_Scaf5712_6.4	PY_T15057
XP_035663078.1	PE_Scaf11592_4.6	PY_T07521
XP_035663098.1	PE_Scaf5159_2.9	PY_T23515
XP_035663103.1	PE_Scaf9445_5.36	PY_T07268
XP_035663139.1	PE_Scaf8976_2.6	PY_T15657
XP_035663150.1	PE_Scaf7478_14.2	PY_T01832
XP_035663220.1	PE_Scaf334_0.8	PY_T07458
XP_035663227.1	PE_Scaf1207_0.8	PY_T02279
XP_035663228.1	PE_Scaf7839_1.8	PY_T01049
XP_035663231.1	PE_Scaf147_5.4	PY_T22459
XP_035663242.1	PE_Scaf1095_3.8	PY_T07813
XP_035663245.1	PE_Scaf3097_3.13	PY_T25434
XP_035663274.1	PE_Scaf1752_2.5	PY_T07052
XP_035663287.1	PE_Scaf3097_3.12	PY_T15250
XP_035663298.1	PE_Scaf9628_4.5	PY_T17942
XP_035663333.1	PE_Scaf4637_2.1	PY_T07515
XP_035663403.1	PE_Scaf5321_0.4	PY_T15129
XP_035663406.1	PE_Scaf6508_3.2	PY_T11198
XP_035663407.1	PE_Scaf8815_5.9	PY_T07876
XP_035663444.1	PE_Scaf5907_10.9	PY_T12305
XP_035663454.1	PE_Scaf4637_3.3	PY_T07516
XP_035663457.1	PE_Scaf8368_2.19	PY_T07230
XP_035663488.1	PE_Scaf5055_3.4	PY_T07240
XP_035663490.1	PE_Scaf1375_1.7	PY_T06872
XP_035663531.1	PE_Scaf3149_1.5	PY_T15642
XP_035663556.1	PE_Scaf1622_1.6	PY_T16439
XP_035663577.1	PE_Scaf10389_4.7	PY_T06902
XP_035663592.1	PE_Scaf4548_2.5	PY_T07221
XP_035663670.1	PE_Scaf3460_14.7	PY_T03160
XP_035663702.1	PE_Scaf3078_0.2	PY_T15656
XP_035663811.1	PE_Scaf530_6.6	PY_T14795
XP_035663958.1	PE_Scaf6997_11.10	PY_T09940
XP_035664149.1	PE_Scaf4116_2.1	PY_T14907
XP_035664180.1	PE_Scaf8403_1.8	PY_T15332
XP_035664317.1	PE_Scaf4335_17.5	PY_T15619
XP_035664326.1	PE_Scaf4194_10.5	PY_T09047
XP_035664339.1	PE_Scaf8096_4.18	PY_T08741
XP_035664372.1	PE_Scaf957_1.2	PY_T12700
XP_035664442.1	PE_Scaf2290_0.10	PY_T08062
XP_035664664.1	PE_Scaf3284_12.6	PY_T09106
XP_035664837.1	PE_Scaf8541_6.4	PY_T00993
XP_035664863.1	PE_Scaf2032_2.3	PY_T08010
XP_035664892.1	PE_Scaf7899_0.9	PY_T09044
XP_035664902.1	PE_Scaf3034_1.4	PY_T02262
XP_035665000.1	PE_Scaf7145_1.8	PY_T08147
XP_035665162.1	PE_Scaf7117_1.15	PY_T14789
XP_035665411.1	PE_Scaf2862_1.6	PY_T14912
XP_035665414.1	PE_Scaf2995_1.21	PY_T01840
XP_035665490.1	PE_Scaf11603_16.5	PY_T14844
XP_035665558.1	PE_Scaf8668_16.2	PY_T08401
XP_035665642.1	PE_Scaf11331_7.3	PY_T15612
XP_035665687.1	PE_Scaf6597_4.3	PY_T09345
XP_035665756.1	PE_Scaf3078_12.3	PY_T15208
XP_035665827.1	PE_Scaf3166_1.8	PY_T11767
XP_035665834.1	PE_Scaf4091_4.8	PY_T14822
XP_035665840.1	PE_Scaf10033_2.4	PY_T10796
XP_035665841.1	PE_Scaf2032_0.2	PY_T09333
XP_035665843.1	PE_Scaf2452_1.4	PY_T08298
XP_035665846.1	PE_Scaf6582_9.3	PY_T01018
XP_035665847.1	PE_Scaf12566_7.13	PY_T08985
XP_035665848.1	PE_Scaf5346_1.5	PY_T05284
XP_035665863.1	PE_Scaf3078_20.3	PY_T15469
XP_035665864.1	PE_Scaf7619_1.2	PY_T15653
XP_035665893.1	PE_Scaf6335_1.4	PY_T15589
XP_035665897.1	PE_Scaf8193_1.4	PY_T00233
XP_035665900.1	PE_Scaf7701_0.1	PY_T14667
XP_035665918.1	PE_Scaf11226_7.9	PY_T09121
XP_035665933.1	PE_Scaf6782_16.3	PY_T15441
XP_035665934.1	PE_Scaf4935_0.7	PY_T11181
XP_035665945.1	PE_Scaf2862_2.7	PY_T14950
XP_035665959.1	PE_Scaf9497_7.4	PY_T14666
XP_035665960.1	PE_Scaf228_11.5	PY_T15100
XP_035665963.1	PE_Scaf12098_2.1	PY_T09866
XP_035665973.1	PE_Scaf4910_5.5	PY_T18170
XP_035665976.1	PE_Scaf5712_3.5	PY_T14966
XP_035665989.1	PE_Scaf12390_5.3	PY_T05487
XP_035665995.1	PE_Scaf4091_3.4	PY_T14820
XP_035665996.1	PE_Scaf9209_0.15	PY_T15438
XP_035665999.1	PE_Scaf8714_3.1	PY_T14761
XP_035666004.1	PE_Scaf8714_3.2	PY_T14760
XP_035666036.1	PE_Scaf11661_24.47	PY_T08137
XP_035666039.1	PE_Scaf2290_0.8	PY_T08063
