XP_035657343.1	PE_Scaf1142_1.4
XP_035661538.1	PE_Scaf10076_11.5
XP_035661539.1	PE_Scaf2137_19.8
XP_035661540.1	PE_Scaf10076_15.2
XP_035661553.1	PE_Scaf1952_6.12
XP_035661567.1	PE_Scaf11765_1.4
XP_035661583.1	PE_Scaf9624_1.3
XP_035661584.1	PE_Scaf1629_5.7
XP_035661630.1	PE_Scaf953_2.13
XP_035661643.1	PE_Scaf3078_22.5
XP_035661698.1	PE_Scaf475_6.5
XP_035661729.1	PE_Scaf10535_0.5
XP_035661733.1	PE_Scaf3709_3.7
XP_035661743.1	PE_Scaf7871_2.11
XP_035661750.1	PE_Scaf5323_13.11
XP_035661770.1	PE_Scaf8630_9.12
XP_035661786.1	PE_Scaf10535_0.6
XP_035661813.1	PE_Scaf5323_12.6
XP_035661840.1	PE_Scaf1263_3.2
XP_035661872.1	PE_Scaf1263_3.4
XP_035661881.1	PE_Scaf4413_2.14
XP_035661927.1	PE_Scaf7341_15.7
XP_035661952.1	PE_Scaf8196_1.7
XP_035662006.1	PE_Scaf1013_6.8
XP_035662010.1	PE_Scaf5285_3.9
XP_035662033.1	PE_Scaf7291_2.3
XP_035662064.1	PE_Scaf10076_11.6
XP_035662077.1	PE_Scaf7239_0.7
XP_035662083.1	PE_Scaf8197_3.3
XP_035662134.1	PE_Scaf2688_1.2
XP_035662144.1	PE_Scaf202_1.2
XP_035662155.1	PE_Scaf1595_5.3
XP_035662172.1	PE_Scaf377_4.10
XP_035662173.1	PE_Scaf8368_2.15
XP_035662193.1	PE_Scaf11780_3.10
XP_035662205.1	PE_Scaf10598_0.3
XP_035662216.1	PE_Scaf8858_1.10
XP_035662217.1	PE_Scaf11952_16.12
XP_035662223.1	PE_Scaf4799_0.3
XP_035662225.1	PE_Scaf696_0.2
XP_035662259.1	PE_Scaf12390_8.16
XP_035662332.1	PE_Scaf10509_3.8
XP_035662335.1	PE_Scaf3228_8.3
XP_035662348.1	PE_Scaf5690_1.2
XP_035662352.1	PE_Scaf12267_4.4
XP_035662365.1	PE_Scaf2009_3.5
XP_035662381.1	PE_Scaf1095_3.12
XP_035662393.1	PE_Scaf11780_2.2
XP_035662423.1	PE_Scaf12089_5.22
XP_035662457.1	PE_Scaf11797_18.7
XP_035662476.1	PE_Scaf10033_3.5
XP_035662480.1	PE_Scaf9147_1.4
XP_035662496.1	PE_Scaf4690_0.5
XP_035662523.1	PE_Scaf9539_11.3
XP_035662525.1	PE_Scaf4035_2.6
XP_035662554.1	PE_Scaf3938_2.10
XP_035662635.1	PE_Scaf1784_5.3
XP_035662639.1	PE_Scaf9746_6.5
XP_035662658.1	PE_Scaf5185_1.8
XP_035662688.1	PE_Scaf12150_1.10
XP_035662737.1	PE_Scaf604_5.6
XP_035662754.1	PE_Scaf12450_1.15
XP_035662757.1	PE_Scaf4746_6.5
XP_035662760.1	PE_Scaf8553_1.7
XP_035662777.1	PE_Scaf8469_13.18
XP_035662783.1	PE_Scaf11797_5.4
XP_035662822.1	PE_Scaf604_0.6
XP_035662824.1	PE_Scaf3741_3.11
XP_035662851.1	PE_Scaf7274_3.5
XP_035662869.1	PE_Scaf5712_5.3
XP_035662874.1	PE_Scaf12358_6.3
XP_035662896.1	PE_Scaf4548_2.3
XP_035662906.1	PE_Scaf5496_0.7
XP_035662916.1	PE_Scaf9539_12.5
XP_035662925.1	PE_Scaf8858_1.3
XP_035662931.1	PE_Scaf7274_3.3
XP_035662939.1	PE_Scaf12427_30.28
XP_035662947.1	PE_Scaf9434_0.4
XP_035662956.1	PE_Scaf4134_0.3
XP_035662959.1	PE_Scaf3563_0.4
XP_035662968.1	PE_Scaf5170_1.6
XP_035662980.1	PE_Scaf5401_2.0
XP_035662982.1	PE_Scaf6032_4.5
XP_035662988.1	PE_Scaf8534_1.21
XP_035663059.1	PE_Scaf5712_6.4
XP_035663078.1	PE_Scaf11592_4.6
XP_035663098.1	PE_Scaf5159_2.9
XP_035663103.1	PE_Scaf9445_5.36
XP_035663139.1	PE_Scaf8976_2.6
XP_035663150.1	PE_Scaf7478_14.2
XP_035663220.1	PE_Scaf334_0.8
XP_035663227.1	PE_Scaf1207_0.8
XP_035663228.1	PE_Scaf7839_1.8
XP_035663231.1	PE_Scaf147_5.4
XP_035663242.1	PE_Scaf1095_3.8
XP_035663245.1	PE_Scaf3097_3.13
XP_035663274.1	PE_Scaf1752_2.5
XP_035663287.1	PE_Scaf3097_3.12
XP_035663298.1	PE_Scaf9628_4.5
XP_035663333.1	PE_Scaf4637_2.1
XP_035663403.1	PE_Scaf5321_0.4
XP_035663406.1	PE_Scaf6508_3.2
XP_035663407.1	PE_Scaf8815_5.9
XP_035663444.1	PE_Scaf5907_10.9
XP_035663454.1	PE_Scaf4637_3.3
XP_035663457.1	PE_Scaf8368_2.19
XP_035663488.1	PE_Scaf5055_3.4
XP_035663490.1	PE_Scaf1375_1.7
XP_035663531.1	PE_Scaf3149_1.5
XP_035663556.1	PE_Scaf1622_1.6
XP_035663577.1	PE_Scaf10389_4.7
XP_035663592.1	PE_Scaf4548_2.5
XP_035663670.1	PE_Scaf3460_14.7
XP_035663702.1	PE_Scaf3078_0.2
XP_035663811.1	PE_Scaf530_6.6
XP_035663958.1	PE_Scaf6997_11.10
XP_035664149.1	PE_Scaf4116_2.1
XP_035664180.1	PE_Scaf8403_1.8
XP_035664317.1	PE_Scaf4335_17.5
XP_035664326.1	PE_Scaf4194_10.5
XP_035664339.1	PE_Scaf8096_4.18
XP_035664372.1	PE_Scaf957_1.2
XP_035664442.1	PE_Scaf2290_0.10
XP_035664664.1	PE_Scaf3284_12.6
XP_035664837.1	PE_Scaf8541_6.4
XP_035664863.1	PE_Scaf2032_2.3
XP_035664892.1	PE_Scaf7899_0.9
XP_035664902.1	PE_Scaf3034_1.4
XP_035665000.1	PE_Scaf7145_1.8
XP_035665162.1	PE_Scaf7117_1.15
XP_035665411.1	PE_Scaf2862_1.6
XP_035665414.1	PE_Scaf2995_1.21
XP_035665490.1	PE_Scaf11603_16.5
XP_035665558.1	PE_Scaf8668_16.2
XP_035665642.1	PE_Scaf11331_7.3
XP_035665687.1	PE_Scaf6597_4.3
XP_035665756.1	PE_Scaf3078_12.3
XP_035665827.1	PE_Scaf3166_1.8
XP_035665834.1	PE_Scaf4091_4.8
XP_035665840.1	PE_Scaf10033_2.4
XP_035665841.1	PE_Scaf2032_0.2
XP_035665843.1	PE_Scaf2452_1.4
XP_035665846.1	PE_Scaf6582_9.3
XP_035665847.1	PE_Scaf12566_7.13
XP_035665848.1	PE_Scaf5346_1.5
XP_035665863.1	PE_Scaf3078_20.3
XP_035665864.1	PE_Scaf7619_1.2
XP_035665893.1	PE_Scaf6335_1.4
XP_035665897.1	PE_Scaf8193_1.4
XP_035665900.1	PE_Scaf7701_0.1
XP_035665918.1	PE_Scaf11226_7.9
XP_035665933.1	PE_Scaf6782_16.3
XP_035665934.1	PE_Scaf4935_0.7
XP_035665945.1	PE_Scaf2862_2.7
XP_035665959.1	PE_Scaf9497_7.4
XP_035665960.1	PE_Scaf228_11.5
XP_035665963.1	PE_Scaf12098_2.1
XP_035665973.1	PE_Scaf4910_5.5
XP_035665976.1	PE_Scaf5712_3.5
XP_035665989.1	PE_Scaf12390_5.3
XP_035665995.1	PE_Scaf4091_3.4
XP_035665996.1	PE_Scaf9209_0.15
XP_035665999.1	PE_Scaf8714_3.1
XP_035666004.1	PE_Scaf8714_3.2
XP_035666036.1	PE_Scaf11661_24.47
XP_035666039.1	PE_Scaf2290_0.8
XP_035666050.1	PE_Scaf9099_12.8
XP_035666051.1	PE_Scaf9111_0.6
XP_035666054.1	PE_Scaf5717_3.14
XP_035666064.1	PE_Scaf6714_0.3
XP_035666065.1	PE_Scaf8006_0.3
XP_035666066.1	PE_Scaf9829_2.7
XP_035666081.1	PE_Scaf6178_2.9
XP_035666136.1	PE_Scaf4671_3.5
XP_035666139.1	PE_Scaf10824_2.2
XP_035666163.1	PE_Scaf444_20.5
XP_035666174.1	PE_Scaf3097_3.8
XP_035666175.1	PE_Scaf992_1.5
XP_035666178.1	PE_Scaf6647_4.6
XP_035666186.1	PE_Scaf3092_7.18
XP_035666195.1	PE_Scaf4194_14.6
XP_035666198.1	PE_Scaf5712_7.4
XP_035666199.1	PE_Scaf9835_0.7
XP_035666202.1	PE_Scaf12577_10.5
XP_035666204.1	PE_Scaf3416_5.16
XP_035666214.1	PE_Scaf11669_1.11
XP_035666215.1	PE_Scaf12529_0.12
XP_035666217.1	PE_Scaf11135_10.4
XP_035666228.1	PE_Scaf12296_3.3
XP_035666229.1	PE_Scaf12331_0.5
XP_035666230.1	PE_Scaf8541_8.10
XP_035666231.1	PE_Scaf12331_0.13
XP_035666232.1	PE_Scaf4659_1.5
XP_035666250.1	PE_Scaf9432_0.5
XP_035666251.1	PE_Scaf9432_0.6
XP_035666273.1	PE_Scaf12427_30.26
XP_035666275.1	PE_Scaf3635_1.0
XP_035666323.1	PE_Scaf110_20.4
XP_035666327.1	PE_Scaf9976_5.10
XP_035666347.1	PE_Scaf870_15.3
XP_035666352.1	PE_Scaf1994_3.7
XP_035666361.1	PE_Scaf6724_1.4
XP_035666362.1	PE_Scaf6724_2.1
XP_035666363.1	PE_Scaf8593_2.11
XP_035666365.1	PE_Scaf8248_5.3
XP_035666367.1	PE_Scaf11020_4.9
XP_035666369.1	PE_Scaf8416_18.7
XP_035666372.1	PE_Scaf5913_4.2
XP_035666386.1	PE_Scaf2142_1.11
XP_035666390.1	PE_Scaf8980_5.4
XP_035666391.1	PE_Scaf10910_1.6
XP_035666401.1	PE_Scaf9460_1.7
XP_035666408.1	PE_Scaf3983_0.5
XP_035666422.1	PE_Scaf3853_7.7
XP_035666424.1	PE_Scaf5245_1.12
XP_035666440.1	PE_Scaf944_11.17
XP_035666442.1	PE_Scaf944_11.6
XP_035666443.1	PE_Scaf3111_5.8
XP_035666452.1	PE_Scaf4139_2.10
XP_035666456.1	PE_Scaf8416_5.1
XP_035666459.1	PE_Scaf3982_2.6
XP_035666471.1	PE_Scaf1750_4.4
XP_035666505.1	PE_Scaf7350_2.9
XP_035666506.1	PE_Scaf6358_2.3
XP_035666530.1	PE_Scaf222_7.2
XP_035666532.1	PE_Scaf8970_1.8
XP_035666536.1	PE_Scaf444_8.5
XP_035666537.1	PE_Scaf3416_2.3
XP_035666538.1	PE_Scaf3477_4.5
XP_035666542.1	PE_Scaf2926_1.5
XP_035666546.1	PE_Scaf11020_0.5
XP_035666550.1	PE_Scaf7063_1.5
XP_035666558.1	PE_Scaf12523_0.5
XP_035666560.1	PE_Scaf7844_1.3
XP_035666561.1	PE_Scaf686_7.4
XP_035666566.1	PE_Scaf8541_8.3
XP_035666583.1	PE_Scaf5233_3.5
XP_035666586.1	PE_Scaf12423_13.5
XP_035666606.1	PE_Scaf3950_3.1
XP_035666622.1	PE_Scaf10237_15.4
XP_035666623.1	PE_Scaf11470_0.5
XP_035666632.1	PE_Scaf37_5.15
XP_035666640.1	PE_Scaf6782_19.10
XP_035666643.1	PE_Scaf10982_1.16
XP_035666653.1	PE_Scaf12212_1.20
XP_035666662.1	PE_Scaf8778_0.3
XP_035666668.1	PE_Scaf11184_0.13
XP_035666672.1	PE_Scaf8714_2.6
XP_035666673.1	PE_Scaf3896_2.5
XP_035666676.1	PE_Scaf4490_0.4
XP_035666677.1	PE_Scaf4262_1.4
XP_035666678.1	PE_Scaf12088_5.9
XP_035666687.1	PE_Scaf11661_19.3
XP_035666698.1	PE_Scaf7396_3.5
XP_035666714.1	PE_Scaf7600_2.3
XP_035666716.1	PE_Scaf4074_0.3
XP_035666717.1	PE_Scaf10317_7.2
XP_035666718.1	PE_Scaf9976_5.12
XP_035666729.1	PE_Scaf5126_1.8
XP_035666731.1	PE_Scaf3460_10.2
XP_035666744.1	PE_Scaf2308_6.5
XP_035666746.1	PE_Scaf444_25.6
XP_035666777.1	PE_Scaf10307_1.3
XP_035666778.1	PE_Scaf9497_1.6
XP_035666821.1	PE_Scaf2926_4.7
XP_035666834.1	PE_Scaf12296_1.6
XP_035666876.1	PE_Scaf4468_9.4
XP_035666879.1	PE_Scaf4304_3.5
XP_035666880.1	PE_Scaf12187_1.5
XP_035666882.1	PE_Scaf7478_7.5
XP_035666887.1	PE_Scaf4468_6.7
XP_035666896.1	PE_Scaf12202_2.5
XP_035666915.1	PE_Scaf5230_2.16
XP_035666928.1	PE_Scaf3543_0.2
XP_035666930.1	PE_Scaf6772_3.5
XP_035666931.1	PE_Scaf11226_7.16
XP_035666948.1	PE_Scaf11450_2.16
XP_035666949.1	PE_Scaf12212_1.13
XP_035666954.1	PE_Scaf3078_2.4
XP_035666976.1	PE_Scaf8714_5.5
XP_035667023.1	PE_Scaf7547_1.3
XP_035667027.1	PE_Scaf2365_0.2
XP_035667028.1	PE_Scaf11359_3.4
XP_035667052.1	PE_Scaf7619_5.3
XP_035667067.1	PE_Scaf6246_1.15
XP_035667069.1	PE_Scaf5984_0.15
XP_035667073.1	PE_Scaf1892_1.7
XP_035667089.1	PE_Scaf3078_29.5
XP_035667108.1	PE_Scaf3950_4.14
XP_035667115.1	PE_Scaf1774_1.6
XP_035667122.1	PE_Scaf1169_7.9
XP_035667155.1	PE_Scaf12427_29.4
XP_035667163.1	PE_Scaf2505_1.8
XP_035667168.1	PE_Scaf11020_1.5
XP_035667181.1	PE_Scaf2296_0.6
XP_035667192.1	PE_Scaf248_20.5
XP_035667193.1	PE_Scaf4304_5.6
XP_035667197.1	PE_Scaf4335_9.10
XP_035667211.1	PE_Scaf4304_5.7
XP_035667218.1	PE_Scaf11700_7.5
XP_035667237.1	PE_Scaf7929_12.7
XP_035667238.1	PE_Scaf11603_11.12
XP_035667246.1	PE_Scaf5370_2.10
XP_035667257.1	PE_Scaf5126_1.6
XP_035667261.1	PE_Scaf3149_0.3
XP_035667264.1	PE_Scaf6206_2.2
XP_035667272.1	PE_Scaf4335_9.23
XP_035667273.1	PE_Scaf8006_1.14
XP_035667290.1	PE_Scaf6809_3.13
